 ,Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
38,AMNH3_8bit_trimmed.tif,0,38,128.905,65.235,44.073,1.800,65.235,44.073,1.251,7.561,10.650,2286.091,4226.636,19.363,396.858,302.356,601.503,14.564,20.675,1.896,120.111,3.883,3.076,0.988,1.361,2.932,4203.191,2309.536,389.777,304.902,10.784,7.575,14.660,20.555
39,AMNH3_8bit_trimmed.tif,0,39,127.707,65.297,44.135,1.800,65.297,44.135,1.217,7.773,10.522,2354.914,4009.681,18.731,381.070,302.974,590.724,14.739,20.561,1.918,63.733,4.196,3.130,1.064,1.361,2.932,3975.508,2389.087,370.266,290.610,10.737,8.221,15.240,20.475
40,AMNH3_8bit_trimmed.tif,0,40,129.811,65.174,44.259,1.800,65.174,44.259,1.197,7.841,10.467,2460.950,4061.173,18.745,388.004,313.877,606.064,14.930,20.514,1.893,67.467,4.110,3.048,1.041,1.361,2.932,4018.191,2503.933,375.096,301.490,10.712,8.305,15.470,20.404
41,AMNH3_8bit_trimmed.tif,0,41,134.260,65.236,44.352,1.800,65.236,44.352,1.189,8.011,10.341,2499.796,4164.555,19.273,402.708,312.054,620.583,14.964,20.394,1.895,125.099,4.443,3.157,1.198,1.361,2.932,4115.719,2548.632,387.953,309.287,10.609,8.240,15.364,20.279
42,AMNH3_8bit_trimmed.tif,0,42,136.606,65.183,44.425,1.800,65.183,44.425,1.181,7.954,10.300,2576.978,4182.471,19.476,406.050,323.997,631.963,14.994,20.292,1.936,107.643,4.670,3.150,1.224,1.361,2.932,4130.717,2628.732,388.966,317.519,10.620,8.279,15.489,20.245
43,AMNH3_8bit_trimmed.tif,0,43,137.399,65.029,44.498,1.800,65.029,44.498,1.177,7.573,10.284,2676.686,4226.495,19.525,410.971,353.469,648.044,14.914,20.200,1.865,65.593,4.501,3.178,1.101,1.361,2.932,4174.328,2728.852,393.554,337.450,10.607,8.087,15.481,20.128
44,AMNH3_8bit_trimmed.tif,0,44,137.593,65.066,44.599,1.800,65.066,44.599,1.134,7.851,10.088,2715.239,4113.506,18.822,407.747,345.867,643.317,15.095,20.074,1.907,67.827,4.501,3.353,1.135,1.361,2.932,4042.302,2786.443,384.979,341.684,10.500,8.155,15.553,19.978
45,AMNH3_8bit_trimmed.tif,0,45,140.829,65.047,44.651,1.800,65.047,44.651,1.116,7.710,10.015,2824.092,4054.311,18.948,404.839,366.307,649.023,15.010,19.983,1.949,58.925,4.780,3.447,1.250,1.361,2.932,3981.959,2896.443,378.345,358.820,10.525,8.072,15.526,19.925
46,AMNH3_8bit_trimmed.tif,0,46,144.470,65.075,44.803,1.800,65.075,44.803,1.140,7.651,9.986,2829.462,4259.665,19.883,426.583,369.828,672.752,15.034,19.912,1.957,59.824,4.677,3.386,1.251,1.361,2.932,4190.892,2898.236,403.111,358.045,10.396,8.095,15.553,19.800
47,AMNH3_8bit_trimmed.tif,0,47,145.085,65.086,44.919,1.800,65.086,44.919,1.159,7.937,9.958,2870.992,4269.702,20.308,428.757,361.713,683.462,15.154,19.845,1.931,61.965,4.677,3.346,1.266,1.361,2.932,4213.306,2927.388,408.017,361.056,10.326,8.108,15.579,19.766
48,AMNH3_8bit_trimmed.tif,0,48,145.975,65.197,44.990,1.800,65.197,44.990,1.180,7.718,9.931,2858.344,4252.056,20.806,428.140,370.326,677.015,15.052,19.762,1.858,58.776,4.800,3.474,1.282,1.361,2.932,4206.977,2903.423,408.969,354.017,10.287,8.201,15.605,19.721
