PercentOfBone,A,normA,IAP,IML,normIAP,normIML
0.25366568914956,7.781112,2.78946446473154,8.1159,4.61982,1.68785125824329,1.46607525517047
0.255131964809384,7.794016,2.79177649535202,8.1159,4.61982,1.68785125824329,1.46607525517047
0.256598240469208,7.800468,2.79293179293731,8.15752,4.61982,1.69001102114868,1.46607525517047
0.258064516129032,7.800468,2.79293179293731,8.15752,4.61982,1.69001102114868,1.46607525517047
0.259530791788856,7.787564,2.7906207194816,8.1159,4.5782,1.68785125824329,1.46276206957704
0.26099706744868,7.787564,2.7906207194816,8.1159,4.5782,1.68785125824329,1.46276206957704
0.262463343108504,7.794016,2.79177649535202,8.15752,4.5782,1.69001102114868,1.46276206957704
0.263929618768328,7.787564,2.7906207194816,8.1159,4.5782,1.68785125824329,1.46276206957704
0.265395894428152,7.781112,2.78946446473154,8.1159,4.5782,1.68785125824329,1.46276206957704
0.266862170087977,7.781112,2.78946446473154,8.1159,4.5782,1.68785125824329,1.46276206957704
0.268328445747801,7.781112,2.78946446473154,8.1159,4.5782,1.68785125824329,1.46276206957704
0.269794721407625,7.787564,2.7906207194816,8.1159,4.5782,1.68785125824329,1.46276206957704
0.271260997067449,7.787564,2.7906207194816,8.1159,4.5782,1.68785125824329,1.46276206957704
0.272727272727273,7.800468,2.79293179293731,8.1159,4.5782,1.68785125824329,1.46276206957704
0.274193548387097,7.800468,2.79293179293731,8.1159,4.5782,1.68785125824329,1.46276206957704
0.275659824046921,7.800468,2.79293179293731,8.1159,4.5782,1.68785125824329,1.46276206957704
0.277126099706745,7.800468,2.79293179293731,8.1159,4.5782,1.68785125824329,1.46276206957704
0.278592375366569,7.800468,2.79293179293731,8.1159,4.5782,1.68785125824329,1.46276206957704
0.280058651026393,7.800468,2.79293179293731,8.1159,4.53658,1.68785125824329,1.45942621646471
0.281524926686217,7.794016,2.79177649535202,8.1159,4.53658,1.68785125824329,1.45942621646471
0.282991202346041,7.800468,2.79293179293731,8.1159,4.5782,1.68785125824329,1.46276206957704
0.284457478005865,7.800468,2.79293179293731,8.1159,4.5782,1.68785125824329,1.46276206957704
0.285923753665689,7.813372,2.7952409556244,8.1159,4.5782,1.68785125824329,1.46276206957704
0.287390029325513,7.813372,2.7952409556244,8.1159,4.53658,1.68785125824329,1.45942621646471
0.288856304985337,7.826276,2.79754821227446,8.1159,4.5782,1.68785125824329,1.46276206957704
0.290322580645161,7.832728,2.79870112730888,8.1159,4.5782,1.68785125824329,1.46276206957704
0.291788856304985,7.826276,2.79754821227446,8.1159,4.5782,1.68785125824329,1.46276206957704
0.293255131964809,7.832728,2.79870112730888,8.1159,4.5782,1.68785125824329,1.46276206957704
0.294721407624633,7.826276,2.79754821227446,8.1159,4.5782,1.68785125824329,1.46276206957704
0.296187683284457,7.826276,2.79754821227446,8.15752,4.5782,1.69001102114868,1.46276206957704
0.297653958944282,7.826276,2.79754821227446,8.15752,4.5782,1.69001102114868,1.46276206957704
0.299120234604106,7.832728,2.79870112730888,8.15752,4.5782,1.69001102114868,1.46276206957704
0.30058651026393,7.845632,2.80100553373248,8.15752,4.5782,1.69001102114868,1.46276206957704
0.302052785923754,7.845632,2.80100553373248,8.1159,4.5782,1.68785125824329,1.46276206957704
0.303519061583578,7.845632,2.80100553373248,8.15752,4.5782,1.69001102114868,1.46276206957704
0.304985337243402,7.852084,2.80215702629242,8.15752,4.5782,1.69001102114868,1.46276206957704
0.306451612903226,7.852084,2.80215702629242,8.15752,4.5782,1.69001102114868,1.46276206957704
0.30791788856305,7.83918,2.79985356759956,8.1159,4.5782,1.68785125824329,1.46276206957704
0.309384164222874,7.832728,2.79870112730888,8.1159,4.53658,1.68785125824329,1.45942621646471
0.310850439882698,7.832728,2.79870112730888,8.1159,4.53658,1.68785125824329,1.45942621646471
0.312316715542522,7.832728,2.79870112730888,8.1159,4.53658,1.68785125824329,1.45942621646471
0.313782991202346,7.832728,2.79870112730888,8.1159,4.53658,1.68785125824329,1.45942621646471
0.31524926686217,7.845632,2.80100553373248,8.15752,4.53658,1.69001102114868,1.45942621646471
0.316715542521994,7.83918,2.79985356759956,8.15752,4.53658,1.69001102114868,1.45942621646471
0.318181818181818,7.845632,2.80100553373248,8.15752,4.53658,1.69001102114868,1.45942621646471
0.319648093841642,7.845632,2.80100553373248,8.15752,4.53658,1.69001102114868,1.45942621646471
0.321114369501466,7.83918,2.79985356759956,8.15752,4.53658,1.69001102114868,1.45942621646471
0.32258064516129,7.845632,2.80100553373248,8.15752,4.53658,1.69001102114868,1.45942621646471
0.324046920821114,7.83918,2.79985356759956,8.15752,4.53658,1.69001102114868,1.45942621646471
0.325513196480938,7.83918,2.79985356759956,8.15752,4.53658,1.69001102114868,1.45942621646471
0.326979472140762,7.83918,2.79985356759956,8.15752,4.53658,1.69001102114868,1.45942621646471
0.328445747800586,7.83918,2.79985356759956,8.15752,4.53658,1.69001102114868,1.45942621646471
0.329912023460411,7.83918,2.79985356759956,8.15752,4.53658,1.69001102114868,1.45942621646471
0.331378299120235,7.83918,2.79985356759956,8.15752,4.53658,1.69001102114868,1.45942621646471
0.332844574780059,7.845632,2.80100553373248,8.19914,4.53658,1.69216253539791,1.45942621646471
0.334310850439883,7.852084,2.80215702629242,8.19914,4.5782,1.69216253539791,1.46276206957704
0.335777126099707,7.858536,2.80330804586296,8.19914,4.5782,1.69216253539791,1.46276206957704
0.337243401759531,7.858536,2.80330804586296,8.24076,4.5782,1.69430587412719,1.46276206957704
0.338709677419355,7.87144,2.80560866836414,8.24076,4.5782,1.69430587412719,1.46276206957704
0.340175953079179,7.864988,2.80445859302647,8.24076,4.5782,1.69430587412719,1.46276206957704
0.341642228739003,7.864988,2.80445859302647,8.24076,4.5782,1.69430587412719,1.46276206957704
0.343108504398827,7.858536,2.80330804586296,8.24076,4.5782,1.69430587412719,1.46276206957704
0.344574780058651,7.852084,2.80215702629242,8.24076,4.5782,1.69430587412719,1.46276206957704
0.346041055718475,7.858536,2.80330804586296,8.24076,4.5782,1.69430587412719,1.46276206957704
0.347507331378299,7.845632,2.80100553373248,8.24076,4.5782,1.69430587412719,1.46276206957704
0.348973607038123,7.826276,2.79754821227446,8.24076,4.5782,1.69430587412719,1.46276206957704
0.350439882697947,7.826276,2.79754821227446,8.24076,4.5782,1.69430587412719,1.46276206957704
0.351906158357771,7.819824,2.7963948219091,8.24076,4.53658,1.69430587412719,1.45942621646471
